 * Serving Flask app 'app'
 * Debug mode: on
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://172.31.2.13:5000
Press CTRL+C to quit
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 997-347-007
39.7.230.167 - - [24/Dec/2023 11:17:04] "GET / HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:34:46] "GET /swaggerui/swagger-ui-bundle.js HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:34:46] "GET /swaggerui/swagger-ui-standalone-preset.js HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:34:47] "GET /swagger.json HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:34:47] "GET /swaggerui/favicon-32x32.png HTTP/1.1" 304 -
14.50.170.213 - - [24/Dec/2023 11:35:56] "GET / HTTP/1.1" 200 -
14.50.170.213 - - [24/Dec/2023 11:35:56] "GET /swaggerui/droid-sans.css HTTP/1.1" 200 -
14.50.170.213 - - [24/Dec/2023 11:35:56] "GET /swaggerui/swagger-ui-bundle.js HTTP/1.1" 200 -
14.50.170.213 - - [24/Dec/2023 11:35:56] "GET /swaggerui/swagger-ui.css HTTP/1.1" 200 -
14.50.170.213 - - [24/Dec/2023 11:35:56] "GET /swaggerui/swagger-ui-standalone-preset.js HTTP/1.1" 200 -
14.50.170.213 - - [24/Dec/2023 11:35:58] "GET /swagger.json HTTP/1.1" 200 -
14.50.170.213 - - [24/Dec/2023 11:35:58] "GET /swaggerui/favicon-32x32.png HTTP/1.1" 200 -
14.50.170.213 - - [24/Dec/2023 11:35:58] "GET /swaggerui/favicon-16x16.png HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:36:12] "GET / HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:36:12] "GET /swaggerui/droid-sans.css HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:36:13] "GET /swaggerui/swagger-ui.css HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:36:13] "GET /swaggerui/swagger-ui-bundle.js HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:36:13] "GET /swaggerui/swagger-ui-standalone-preset.js HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:36:13] "GET /swagger.json HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:36:13] "GET /swaggerui/favicon-32x32.png HTTP/1.1" 304 -
14.55.102.185 - - [24/Dec/2023 11:36:14] "GET / HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:36:14] "GET /swaggerui/droid-sans.css HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:36:14] "GET /swaggerui/swagger-ui.css HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:36:14] "GET /swaggerui/swagger-ui-bundle.js HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:36:14] "GET /swaggerui/swagger-ui-standalone-preset.js HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:36:20] "GET /swagger.json HTTP/1.1" 200 -
14.55.102.185 - - [24/Dec/2023 11:36:20] "GET /swaggerui/favicon-32x32.png HTTP/1.1" 200 -
14.50.170.213 - - [24/Dec/2023 11:36:28] "GET /swagger.json HTTP/1.1" 200 -
14.50.170.213 - - [24/Dec/2023 11:36:28] "GET /favicon.ico HTTP/1.1" 404 -
211.231.103.92 - - [24/Dec/2023 11:36:37] "GET / HTTP/1.0" 200 -
211.231.103.104 - - [24/Dec/2023 11:36:41] "GET / HTTP/1.0" 200 -
14.50.170.213 - - [24/Dec/2023 11:36:43] "GET / HTTP/1.1" 200 -
14.50.170.213 - - [24/Dec/2023 11:36:43] "GET /swaggerui/droid-sans.css HTTP/1.1" 200 -
14.50.170.213 - - [24/Dec/2023 11:36:43] "GET /swaggerui/swagger-ui.css HTTP/1.1" 200 -
14.50.170.213 - - [24/Dec/2023 11:36:43] "GET /swaggerui/swagger-ui-bundle.js HTTP/1.1" 200 -
14.50.170.213 - - [24/Dec/2023 11:36:43] "GET /swaggerui/swagger-ui-standalone-preset.js HTTP/1.1" 200 -
14.50.170.213 - - [24/Dec/2023 11:36:46] "GET /swagger.json HTTP/1.1" 200 -
14.50.170.213 - - [24/Dec/2023 11:36:46] "GET /swaggerui/favicon-16x16.png HTTP/1.1" 200 -
14.50.170.213 - - [24/Dec/2023 11:36:46] "GET /swaggerui/favicon-32x32.png HTTP/1.1" 200 -
218.158.94.200 - - [24/Dec/2023 11:37:13] "GET / HTTP/1.1" 200 -
218.158.94.200 - - [24/Dec/2023 11:37:13] "GET /swaggerui/droid-sans.css HTTP/1.1" 200 -
